TIME [s]   SATELITE_I DISTANCE [m]        
22500      29         22542895.748188     
22500      30         31125650.8192193    
22500      31         25626015.2177489    
22500      32         26882346.1225346    
23400      01         32904418.2409124    
23400      02         24193209.5060045    
23400      03         31780363.9143351    
23400      04         29088946.8753463    
23400      05         21738978.3049837    
23400      06         27742980.0880304    
23400      07         32279154.3751707    
23400      08         31182072.3920105    
23400      09         29073655.3530613    
23400      10         27805823.5954692    
23400      11         32601876.6377403    
23400      12         20776805.6059407    
23400      13         26183563.6233068    
23400      14         27173027.1735752    
23400      15         24838372.4580373    
23400      16         30314439.8720921    
23400      17         28700427.9692708    
23400      18         24758194.4225592    
23400      19         27758143.5486168    
23400      20         21275764.0366014    
23400      21         22485960.6431759    
23400      22         32294499.3428884    
23400      23         29685151.6248193    
23400      24         22994500.4146599    
23400      25         20831963.720968     
23400      26         28368215.8091967    
23400      27         29707755.1718509    
23400      28         29578428.6154336    
23400      29         22474443.8737326    
23400      30         31294597.2696527    
23400      31         25237808.7971111    
23400      32         26984852.0491064    
24300      01         32781311.7863732    
24300      02         24665092.5239624    
24300      03         32075106.1692846    
24300      04         28865588.4763296    
24300      05         21843482.9431246    
24300      06         28217521.6061431    
24300      07         32168084.3340765    
24300      08         31104303.188021     
24300      09         29071832.4270839    
24300      10         27328027.2289202    
24300      11         32481835.563214     
24300      12         20881064.8631589    
24300      13         26104208.8927192    
24300      14         27251429.05464      
24300      15         24686906.7096094    
24300      16         29949613.5338245    
24300      17         28867119.78868      
24300      18         24203539.8080645    
24300      19         27991970.1553764    
24300      20         20959979.2177914    
24300      21         22261064.9241691    
24300      22         32406094.6273761    
24300      23         29695960.0613643    
24300      24         23473191.1269427    
24300      25         20574593.7996824    
24300      26         27860715.308868     
24300      27         29531477.7182129    
24300      28         30038514.1224408    
24300      29         22396145.6029453    
24300      30         31401324.8151531    
24300      31         24908570.0785505    
24300      32         27071565.0826726    
25200      01         32618108.552141     
25200      02         25118690.0400119    
25200      03         32327173.7458637    
25200      04         28632070.3340597    
25200      05         22039521.7612542    
25200      06         28650097.1686018    
25200      07         32007937.9753947    
25200      08         31028349.2693678    
25200      09         29117012.7944225    
25200      10         26805944.7650681    
25200      11         32346413.2066148    
25200      12         21066001.5893148    
25200      13         25988726.0970452    
25200      14         27325925.3436447    
25200      15         24494914.9993483    
25200      16         29536598.5227685    
25200      17         29044057.6539245    
25200      18         23645164.4923423    
25200      19         28222070.241961     
25200      20         20717264.9688897    
25200      21         22101651.5267156    
25200      22         32464877.121161     
25200      23         29747930.7096787    
25200      24         23944269.9679263    
25200      25         20388846.5752522    
25200      26         27320315.301783     
25200      27         29351742.7564136    
25200      28         30486588.1358225    
25200      29         22306051.3861359    
25200      30         31447797.5064214    
25200      31         24644426.0319554    
25200      32         27132228.3797447    
26100      01         32420967.5927167    
26100      02         25547944.8120532    
26100      03         32530104.67888      
26100      04         28383312.1840926    
26100      05         22324134.5203029    
26100      06         29038510.2915426    
26100      07         31805579.7518601    
26100      08         30949945.6845288    
26100      09         29210417.4628311    
26100      10         26247712.1777444    
26100      11         32199806.1910889    
26100      12         21331721.8790796    
26100      13         25846836.2355644    
26100      14         27385870.7558067    
26100      15         24270474.0663588    
26100      16         29078248.341466     
26100      17         29235583.0892196    
26100      18         23095742.8870352    
26100      19         28453592.4779146    
26100      20         20558142.4459629    
26100      21         22003808.2153435    
26100      22         32467446.4548217    
26100      23         29838512.2434358    
26100      24         24395825.4755973    
26100      25         20284776.2827499    
26100      26         26754198.2094288    
26100      27         29163124.176355     
26100      28         30913244.7144247    
26100      29         22204032.9003744    
26100      30         31437417.1005877    
26100      31         24449008.9226093    
26100      32         27157638.3943432    
27000      01         32196410.0958999    
27000      02         25948390.3429994    
27000      03         32678720.6127446    
27000      04         28114472.4036812    
27000      05         22690842.191113     
27000      06         29382080.4951293    
27000      07         31568877.7652678    
27000      08         30864078.0337671    
27000      09         29350988.3555993    
27000      10         25662825.4639403    
27000      11         32045581.9549798    
27000      12         21675121.9333971    
27000      13         25689505.3556287    
27000      14         27421234.9349296    
27000      15         24023394.2960854    
27000      16         28579057.7204921    
27000      17         29444825.7310045    
27000      18         22568536.9968972    
27000      19         28691089.96782      
27000      20         20490094.041539     
27000      21         21961371.5502785    
27000      22         32411706.0940135    
27000      23         29963264.3893308    
27000      24         24817401.9818581    
27000      25         20269749.8877582    
27000      26         26171050.4486542    
27000      27         28959993.2007185    
27000      28         31309542.6649782    
27000      29         22091798.3726645    
27000      30         31374922.0517168    
27000      31         24323170.2545134    
27000      32         27139895.2223696    
27900      01         31951103.2949904    
27900      02         26317143.2612816    
27900      03         32769184.2242171    
27900      04         27821217.9421725    
27900      05         23130243.639337     
27900      06         29681543.102047     
27900      07         31306554.1853778    
27900      08         30765238.5269928    
27900      09         29535447.8244076    
27900      10         25062007.3941932    
27900      11         31886551.3650929    
